fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
447,-73.2224997,18.30778028,731-06,6ème La Colline,Sud,Aquin,Aquin,67.4604,91,3,3,90,590,59744,4.78,886,2.95,Sid,Aken,6e Lakolin,Aken,33,45.9,21.1,0,56,523920,5.72,8.77,0.94,Bovin,49,50,1.7,21.45,Gran Sid,1200,3.079181246,0,0,86,0.719,-0.1433,4,4
448,-73.42323814,18.30321423,731-03,3ème Brodequin,Sud,Aquin,Aquin,41.005,80,3,5,0,1190,39174,4.59,955,2.98,Sid,Aken,3e Bwodken,Aken,23.6,30.3,45.8,0.2,53,232426,5.37,5.93,0.77,Bovin,17,0,-1,27.66,Gran Sid,1954,3.290924559,1,0,76,0.384,-0.4157,4,4
449,-73.19580807,18.24136662,731-04,4ème Flamands,Sud,Aquin,Aquin,136.5068,44,2,3,0,600,21548,4.33,158,2.2,Sid,Aken,4e Flanman,Aken,47.8,44.3,7.9,0,68,16784,4.22,0.78,-0.11,Bovin,74,73,1.86,15.4,Gran Sid,970,2.986771734,1,0,49,0.612,-0.2132,4,4
450,-72.56305983,19.34607435,513-01,1ère Lacroix Perisse,Artibonite,L'Estere,Gonaïves,55.194,74,2,3,10,720,30454,4.48,552,2.74,Latibonit,Lestè,1e Lakwa Peris,Gonayiv,52.3,36.7,11,0,57,589237,5.77,19.35,1.29,Bovin,63,0,-1,14.43,Gran Nòdwès,870,2.939519253,0,0,54,0.847,-0.0721,4,4
451,-73.32739071,18.26763188,731-01,1ère Macéan,Sud,Aquin,Aquin,87.785,65,2,3,0,280,29743,4.47,339,2.53,Sid,Aken,1e Maseyan,Aken,70.9,27.7,1.5,0,53,637752,5.8,21.44,1.33,Bovin,62,0,-1,8.51,Gran Sid,1010,3.004321374,1,0,39,0.708,-0.15,4,4
452,-72.64880208,19.36060566,513-02,2ème Petites Desdunes,Artibonite,L'Estere,Gonaïves,118.9338,70,1,2,0,400,22413,4.35,188,2.27,Latibonit,Lestè,2e Ti Dedin,Gonayiv,86.9,7.1,6,0,59,354486,5.55,15.82,1.2,Bovin,10,0,-1,5.28,Gran Nòdwès,458,2.660865478,1,0,16,0.405,-0.3925,4,4
453,-73.32958838,18.32635523,731-02,2ème Bellevue,Sud,Aquin,Aquin,39.8595,87,3,4,20,530,45773,4.66,1148,3.06,Sid,Aken,2e Bèlvi,Aken,52.9,41.4,5.7,0,37,236870,5.37,5.17,0.71,Bovin,67,0,-1,13.39,Gran Sid,1306,3.115943177,0,0,45,2.092,0.3206,2,2
454,-72.09509701,19.65677237,313-03,3ème Roucou,Nord,Limonade,Cap Haïtien,34.028,90,3,4,10,430,25023,4.4,735,2.87,Nò,Limonad,3e Woukou,Kap Ayisyen,83.6,12.6,3.7,0,51,932826,5.97,37.28,1.57,Bovin,0,0,-1,6.6,Gran Nòdès,1261,3.100715087,0,0,11,0.974,-0.0114,4,4
455,-72.38744948,19.54902992,552-02,2ème Bassin,Artibonite,Marmelade,Marmelade,36.0852,42,4,5,310,970,14094,4.15,391,2.59,Latibonit,Mamlad,2e Basen,Mamlad,6.8,49.6,43.6,0,60,447916,5.65,31.78,1.5,Bovin,72,0,-1,30.6,Gran Nòdwès,2156,3.333648757,0,0,95,0.415,-0.382,3,3
456,-72.40126176,19.50138554,552-03,3ème Platon,Artibonite,Marmelade,Marmelade,31.8928,63,3,5,490,1090,14810,4.17,464,2.67,Latibonit,Mamlad,3e Platon,Mamlad,11.7,76.9,11.4,0,61,73912,4.87,4.99,0.7,Bovin,74,0,-1,22.26,Gran Nòdwès,1684,3.226342087,0,0,86,0.473,-0.3251,3,3
457,-72.09770266,19.70534729,313-01,1ère Basse Plaine,Nord,Limonade,Cap Haïtien,56.7906,83,1,3,0,20,17440,4.24,307,2.49,Nò,Limonad,1e Bas Plenn,Kap Ayisyen,100,0,0,0,60,514607,5.71,29.51,1.47,Bovin,8,0,-1,1,Gran Nòdès,1200,3.079181246,1,0,0,0.585,-0.2328,4,4
458,-72.13877138,19.62768869,313-02,2ème Bois de Lance,Nord,Limonade,Cap Haïtien,39.5893,55,3,4,20,570,14254,4.15,360,2.56,Nò,Limonad,2e Bwa Lans,Kap Ayisyen,66.1,22.4,11.5,0,55,468445,5.67,32.86,1.52,Bovin,13,0,-1,12.36,Gran Nòdès,1339,3.126780577,0,0,26,0.931,-0.0311,4,4
459,-72.34760632,19.5238996,552-01,1ère Crête à Pins,Artibonite,Marmelade,Marmelade,44.2583,35,4,5,520,1100,11814,4.07,267,2.43,Latibonit,Mamlad,1e Krètapen,Mamlad,3.1,68.2,28.7,0,61,431236,5.63,36.5,1.56,Bovin,48,0,-1,27.49,Gran Nòdwès,2154,3.333245699,0,0,100,0.372,-0.4295,3,3
460,-72.50261898,19.67788489,372-08,8ème Margot,Nord,Pilate,Plaisance,23.5024,39,4,5,310,920,5956,3.77,253,2.4,Nò,Pilat,8e Mago,Plezans,0,70.2,29.8,0,67,253798,5.4,42.61,1.63,Bovin,75,27,1.43,28.16,Gran Nòdès,2172,3.336859821,0,0,95,0.162,-0.7905,3,3
461,-72.37332182,19.60614177,321-06,6ème Soufrière,Nord,Acul du Nord,Acul du Nord,43.1885,0,5,5,60,940,5539,3.74,128,2.11,Nò,Akildinò,6e Soufriyè,Akildinò,3.5,64.7,31.8,0,75,508752,5.71,91.85,1.96,Bovin,95,2,0.3,28.21,Gran Nòdès,2400,3.380211242,0,0,98,0.002,-2.699,3,3
462,-72.32464411,19.60331782,321-04,4ème Grande Ravine,Nord,Acul du Nord,Acul du Nord,32.0822,11,4,5,70,990,6357,3.8,198,2.3,Nò,Akildinò,4e Gran Ravin,Akildinò,7.3,71.3,21.4,0,71,534401,5.73,84.06,1.92,Bovin,45,0,-1,25.09,Gran Nòdès,2354,3.371806459,0,0,94,0.003,-2.5229,3,3
463,-72.34643793,19.6564861,321-05,5ème Coupe à David,Nord,Acul du Nord,Acul du Nord,15.8134,0,4,5,60,490,2986,3.48,189,2.28,Nò,Akildinò,5e Koupadavid,Akildinò,19.7,58.2,22.1,0,73,201544,5.3,67.5,1.83,Bovin,24,0,-1,23.84,Gran Nòdès,2316,3.364738555,0,0,94,0.006,-2.2218,3,3
464,-72.31336065,19.68205744,321-02,2ème Bas de l'Acul,Nord,Acul du Nord,Acul du Nord,36.2012,88,4,5,0,490,16318,4.21,451,2.65,Nò,Akildinò,2e Ba Lakil,Akildinò,77.3,12,10.7,0,55,912245,5.96,55.9,1.75,Bovin,0,0,-1,10.45,Gran Nòdès,1700,3.230448921,1,0,19,0.688,-0.1624,4,4
465,-72.29166696,19.60724969,321-03,3ème Mornet,Nord,Acul du Nord,Acul du Nord,34.4414,83,4,5,30,770,17307,4.24,503,2.7,Nò,Akildinò,3e Mònè,Akildinò,46.5,50.5,3,0,53,495293,5.69,28.62,1.46,Bovin,9,0,-1,14.3,Gran Nòdès,1945,3.288919606,0,0,40,0.235,-0.6289,4,4
466,-72.35365295,19.74424826,321-01,1ère Camp louise,Nord,Acul du Nord,Acul du Nord,25.8277,73,4,4,0,610,9837,3.99,381,2.58,Nò,Akildinò,1e Kan Lwiz,Akildinò,54.6,34.9,10.5,0,55,597953,5.78,60.79,1.78,Bovin,3,0,-1,14.67,Gran Nòdès,1700,3.230448921,1,0,50,0.888,-0.0516,4,4
467,-73.53695046,18.31778789,732-08,8ème Corail-Henry,Sud,"St, Louis du Sud",Aquin,21.4012,49,5,5,70,1360,6625,3.82,310,2.49,Sid,Sen Lwi nan Sid,8e Koray Anri,Aken,4.2,6,84.8,5,75,374420,5.57,56.52,1.75,Bovin,50,0,-1,43.75,Gran Sid,2400,3.380211242,0,0,96,0.14,-0.8539,3,3
468,-73.60869468,18.27275105,732-06,6ème Solon,Sud,"St, Louis du Sud",Aquin,23.6372,60,4,5,0,420,15217,4.18,644,2.81,Sid,Sen Lwi nan Sid,6e Solon,Aken,26.1,60.7,13.1,0,54,438096,5.64,28.79,1.46,Bovin,42,0,-1,19.64,Gran Sid,1989,3.298634783,1,0,40,0.336,-0.4737,4,4
469,-73.49746465,18.31561568,732-07,7ème Cherette,Sud,"St, Louis du Sud",Aquin,23.4115,50,5,5,30,1250,6630,3.82,283,2.45,Sid,Sen Lwi nan Sid,7e Cherèt,Aken,3.8,13.2,67.2,15.8,68,209853,5.32,31.65,1.5,Bovin,46,0,-1,45.99,Gran Sid,2400,3.380211242,0,0,89,0.094,-1.0269,3,3
470,-73.45385853,18.2733289,732-04,4ème Zanglais,Sud,"St, Louis du Sud",Aquin,24.7015,90,3,5,0,670,15222,4.18,616,2.79,Sid,Sen Lwi nan Sid,4e Zanglè,Aken,26.7,29.1,44.2,0,61,109497,5.04,7.19,0.86,Porcin,88,0,-1,27.02,Gran Sid,1822,3.260548373,1,0,78,0.445,-0.3516,4,4
471,-73.56763815,18.29603689,732-05,5ème Sucrerie-Henry,Sud,"St, Louis du Sud",Aquin,17.0085,77,5,5,30,620,8767,3.94,515,2.71,Sid,Sen Lwi nan Sid,5e Sikreri Anri,Aken,6.4,39.9,53.7,0,65,469772,5.67,53.58,1.73,Bovin,4,0,-1,33.09,Gran Sid,2400,3.380211242,0,0,81,0.353,-0.4522,3,3
472,-73.58167014,18.24441239,732-02,2ème Baie Dumesle,Sud,"St, Louis du Sud",Aquin,29.4698,68,4,5,0,560,21569,4.33,732,2.86,Sid,Sen Lwi nan Sid,2e Bè Dimèl,Aken,24.4,59.5,16.1,0,52,633277,5.8,29.36,1.47,Bovin,30,0,-1,21.1,Gran Sid,1997,3.300378065,1,0,60,0.826,-0.083,4,4
473,-73.51723016,18.25954564,732-03,3ème Grenodière,Sud,"St, Louis du Sud",Aquin,26.7792,76,4,5,0,610,20627,4.31,770,2.89,Sid,Sen Lwi nan Sid,3e Grenodyè,Aken,36.4,35,28.5,0,60,543811,5.74,26.36,1.42,Bovin,35,0,-1,21.88,Gran Sid,2288,3.35945602,1,0,63,0.632,-0.1993,4,4
474,-73.47941722,18.30064103,732-01,1ère Grands Fonds,Sud,"St, Louis du Sud",Aquin,18.3587,5,5,5,40,1190,3603,3.56,196,2.29,Sid,Sen Lwi nan Sid,1e Gran Fon,Aken,1.9,20,71.9,6.2,75,172093,5.24,47.76,1.68,Bovin,82,0,-1,41.7,Gran Sid,2400,3.380211242,0,0,87,0.005,-2.301,3,3
475,-73.75753774,18.29322835,711-05,5ème Mercy,Sud,Les Cayes,Cayes,28.6251,63,4,5,30,290,15819,4.2,553,2.74,Sid,Okay,5e Mèsi,Okay,84.6,15.4,0,0,51,563120,5.75,35.6,1.55,Bovin,10,0,-1,7.97,Gran Sid,1847,3.266466895,0,0,49,1.105,0.0434,4,4
476,-73.7027686,18.26940738,711-06,6ème Boulmier,Sud,Les Cayes,Cayes,35.4877,54,4,5,0,230,16354,4.21,461,2.66,Sid,Okay,6e Boulmye,Okay,53.3,46.6,0,0,51,512058,5.71,31.31,1.5,Bovin,83,0,-1,14.28,Gran Sid,1747,3.242292905,1,0,38,1.23,0.0899,4,4
477,-72.54785368,19.71145913,372-06,6ème Piment,Nord,Pilate,Plaisance,8.2605,0,4,5,290,1000,1565,3.19,189,2.28,Nò,Pilat,6e Piman,Plezans,0,69.5,30.4,0,66,97317,4.99,62.18,1.79,Bovin,87,5,0.7,28.29,Gran Nòdès,2121,3.326540669,0,0,100,0.012,-1.9208,3,3
478,-73.8007766,18.30682697,711-03,3ème Laborde,Sud,Les Cayes,Cayes,36.7906,73,4,5,60,350,17538,4.24,477,2.68,Sid,Okay,3e Labòd,Okay,50.3,47.8,1.8,0,62,761927,5.88,43.44,1.64,Bovin,10,0,-1,12.48,Gran Sid,2213,3.344981414,0,0,43,1.217,0.0853,4,4
479,-72.60187777,19.74410217,372-07,7ème Rivière La Porte,Nord,Pilate,Plaisance,25.5862,0,4,5,170,1150,2522,3.4,99,2,Nò,Pilat,7e Rivyè Lapòt,Plezans,0,49.1,50.9,0,70,75797,4.88,30.05,1.48,Bovin,92,0,-1,33.22,Gran Nòdès,2322,3.365862215,0,0,100,0.004,-2.3979,3,3
480,-73.73878103,18.27063458,711-04,4ème Laurent,Sud,Les Cayes,Cayes,24.4412,64,4,5,10,190,12802,4.11,524,2.72,Sid,Okay,4e Loran,Okay,83.6,16.4,0,0,49,1147180,6.06,89.61,1.95,Bovin,12,0,-1,8.75,Gran Sid,1725,3.236789099,0,0,63,0.815,-0.0888,4,4
481,-72.49602974,18.90272031,141-06,6ème des Matheux,Ouest,Arcahaie,Arcahaie,89.4721,23,3,4,150,1490,19953,4.3,223,2.35,Lwès,Akayè,6e Mate,Akayè,2.9,43.8,50.5,2.8,60,1471244,6.17,73.74,1.87,Bovin,66,7,0.85,34.42,Gran Nòdwès,1653,3.218272854,0,0,99,0.347,-0.4597,3,3
482,-72.56461941,19.7170335,372-04,4ème Joly,Nord,Pilate,Plaisance,8.6127,0,4,5,280,1000,2646,3.42,307,2.49,Nò,Pilat,4e Joli,Plezans,0.1,79.1,20.8,0,64,87997,4.94,33.26,1.52,Bovin,95,0,-1,25.97,Gran Nòdès,2068,3.315550534,0,0,100,0.012,-1.9208,3,3
483,-73.75885093,18.21450767,711-01,1ère Bourdet,Sud,Les Cayes,Cayes,52.7668,97,4,5,0,230,106264,5.03,2014,3.3,Sid,Okay,1e Boudè,Okay,87.2,12.8,0,0,41,930111,5.97,8.75,0.94,Bovin,0,0,-1,4.6,Gran Sid,2208,3.343999069,1,0,12,2.623,0.4188,2,2
484,-72.5243859,19.71348838,372-05,5ème Dubourgs,Nord,Pilate,Plaisance,14.5988,0,4,5,370,1020,1405,3.15,96,1.98,Nò,Pilat,5e Dibou,Plezans,0,61.7,38.3,0,69,39903,4.6,28.4,1.45,Bovin,96,5,0.7,30.18,Gran Nòdès,2322,3.365862215,0,0,94,0.027,-1.5686,3,3
485,-72.53925145,19.6326308,372-02,2ème Baudin,Nord,Pilate,Plaisance,16.8476,0,4,4,280,960,4983,3.7,296,2.47,Nò,Pilat,2e Boden,Plezans,22.9,48.5,28.6,0,67,211936,5.33,42.53,1.63,Bovin,83,0,-1,25.01,Gran Nòdès,1700,3.230448921,0,0,94,0.006,-2.2218,3,3
486,-73.81416456,18.25153238,711-02,2ème Fonfrède,Sud,Les Cayes,Cayes,40.0347,76,4,5,30,210,17935,4.25,448,2.65,Sid,Okay,2e Fonfrèd,Okay,100,0,0,0,49,1228279,6.09,68.49,1.84,Bovin,9,0,-1,1.63,Gran Sid,2081,3.31827208,0,0,0,1.847,0.2665,4,4
487,-72.63322579,18.93642566,141-04,4ème Montrouis,Ouest,Arcahaie,Arcahaie,78.1581,59,2,4,0,1280,29028,4.46,371,2.57,Lwès,Akayè,4e Monwi,Akayè,5.4,28.5,61.7,4.5,51,1101678,6.04,37.95,1.58,Bovin,45,0,-1,37.54,Gran Nòdwès,1103,3.042575512,1,0,89,0.747,-0.1267,4,4
488,-72.58611878,19.69291289,372-03,3ème Ravine Trompette,Nord,Pilate,Plaisance,15.8048,53,4,4,260,870,6574,3.82,416,2.62,Nò,Pilat,3e Ravin Twonpèt,Plezans,25.3,63.3,11.3,0,56,175513,5.24,26.7,1.43,Bovin,67,0,-1,20.55,Gran Nòdès,1700,3.230448921,0,0,90,0.721,-0.1421,3,3
489,-72.44030768,18.85450508,141-05,5ème Délices,Ouest,Arcahaie,Arcahaie,95.5645,37,3,4,60,1430,29790,4.47,312,2.49,Lwès,Akayè,5e Delis,Akayè,14.2,32,53.5,0.2,64,1769713,6.25,59.41,1.77,Bovin,80,0,-1,32.17,Gran Nòdwès,1600,3.204119983,0,0,96,0.178,-0.7496,3,3
490,-72.56295826,18.89730457,141-02,2ème Fonds Baptiste,Ouest,Arcahaie,Arcahaie,93.2568,40,2,4,0,1570,20122,4.3,216,2.33,Lwès,Akayè,2e Fon Batis,Akayè,11.1,39.8,48.4,0.6,52,2413607,6.38,119.95,2.08,Bovin,37,54,1.73,31.56,Gran Nòdwès,1332,3.124504225,1,0,84,0.313,-0.5045,4,4
491,-72.55278476,19.66563704,372-01,1ère Ballon,Nord,Pilate,Plaisance,22.4143,61,4,5,260,910,13827,4.14,617,2.79,Nò,Pilat,1e Balon,Plezans,32.2,60.1,7.8,0,51,476139,5.68,34.44,1.54,Bovin,6,0,-1,18.51,Gran Nòdès,1700,3.230448921,0,0,80,0.958,-0.0186,4,4
492,-72.53542746,18.80842163,141-03,3ème des Vases,Ouest,Arcahaie,Arcahaie,46.7281,96,2,3,0,280,76135,4.88,1629,3.21,Lwès,Akayè,3e Dèvaz,Akayè,98.6,1.2,0.2,0,40,1662128,6.22,21.83,1.34,Bovin,2,0,-1,3.5,Gran Nòdwès,876,2.942504106,1,0,6,2.395,0.3793,2,2
493,-72.49411565,18.78477951,141-01,1ère Boucassin,Ouest,Arcahaie,Arcahaie,7.1597,94,2,3,0,90,10367,4.02,1448,3.16,Lwès,Akayè,1e Boukasen,Akayè,100,0,0,0,34,776363,5.89,74.89,1.87,Bovin,10,0,-1,3.33,Gran Nòdwès,1171,3.068556895,1,0,2,3.198,0.5049,2,2
494,-72.04208561,19.22761362,611-04,4ème Aguahedionde,Centre,Hinche,Hinche,170.0881,16,3,4,240,700,36173,4.56,213,2.33,Sant,Ench,4e Agwayedyond,Ench,87.8,11.4,0.9,0,55,1785970,6.25,49.37,1.69,Bovin,81,0,-1,6.15,Gran Nòdès,1456,3.163161375,0,0,22,0.568,-0.2457,4,4
495,-71.9637689,19.07724703,611-02,2ème Marmont,Centre,Hinche,Hinche,109.4764,16,3,4,210,880,30799,4.49,281,2.45,Sant,Ench,2e Mamon,Ench,94.8,3.8,1.5,0,54,1548256,6.19,50.27,1.7,Bovin,70,0,-1,3.94,Gran Nòdès,1403,3.147057671,0,0,12,0.354,-0.451,4,4
496,-71.92988004,19.15771628,611-03,3ème Aguahedionde,Centre,Hinche,Hinche,123.3488,20,3,4,220,780,33120,4.52,269,2.43,Sant,Ench,3e Agwayedyond,Ench,78.4,19.9,1.7,0,54,3104312,6.49,93.73,1.97,Bovin,65,3,0.48,7.36,Gran Nòdès,1211,3.083144143,0,0,32,0.391,-0.4078,4,4
497,-72.09218586,19.09738652,611-01,1ère Juanaria,Centre,Hinche,Hinche,179.5897,46,4,5,230,1370,78961,4.9,440,2.64,Sant,Ench,1e Jwanarya,Ench,51.5,40.5,8,0,54,2539836,6.4,32.17,1.51,Bovin,40,9,0.95,14.65,Gran Nòdès,1996,3.300160537,0,0,61,0.481,-0.3179,4,4
498,-72.30557845,18.8920357,533-01,1ère Martineau,Artibonite,La Chapelle,Saint-Marc,82.2637,39,4,5,70,1230,15592,4.19,190,2.28,Latibonit,Lachapèl,1e Matino,Sen Mak,25.9,59,15.2,0,60,2039561,6.31,130.81,2.12,Bovin,57,6,0.78,21.22,Gran Nòdwès,1840,3.264817823,0,0,95,0.519,-0.2848,3,3
499,-72.37225837,18.9317149,533-02,2ème Bossous,Artibonite,La Chapelle,Saint-Marc,64.0923,44,4,4,50,1360,10162,4.01,159,2.2,Latibonit,Lachapèl,2e Bosou,Sen Mak,27.5,50.2,22.4,0,62,1244212,6.09,122.44,2.09,Bovin,84,8,0.9,22.59,Gran Nòdwès,1700,3.230448921,0,0,90,0.433,-0.3635,3,3
500,-73.15710314,18.34430754,731-10,10ème Guirand,Sud,Aquin,Aquin,41.6532,61,3,4,210,550,35447,4.55,851,2.93,Sid,Aken,10e Giran,Aken,48.4,43.7,7.9,0,60,435010,5.64,12.27,1.09,Bovin,72,4,0.6,15.02,Gran Sid,1346,3.12904506,0,0,43,0.562,-0.2503,4,4
501,-72.30952865,19.11359115,542-05,5ème Pérodin,Artibonite,Petite Rivière de L'Artibonit,Dessalines,122.0125,0,4,5,70,1720,12334,4.09,101,2,Latibonit,Ti Rivyè Latiboni,5e Pewoden,Desalin,7.5,58.1,33.3,1.1,57,1240751,6.09,100.6,2,Bovin,70,49,1.69,28.61,Gran Nòdwès,2219,3.346157302,0,0,96,0.08,-1.0969,3,3
502,-72.30557934,19.0557987,542-06,6ème Médor,Artibonite,Petite Rivière de L'Artibonit,Dessalines,95.6534,0,4,5,170,1780,8602,3.93,90,1.95,Latibonit,Ti Rivyè Latiboni,6e Medò,Desalin,0,48.3,51.7,0.1,71,397962,5.6,46.26,1.67,Bovin,76,64,1.81,33.43,Gran Nòdwès,2143,3.331022171,0,0,98,0.018,-1.7447,3,3
503,-72.43522638,19.08677712,542-03,3ème Labady,Artibonite,Petite Rivière de L'Artibonit,Dessalines,64.4072,73,3,4,30,370,48759,4.69,757,2.88,Latibonit,Ti Rivyè Latiboni,3e Labadi,Desalin,76.6,22.6,0.8,0,44,901078,5.95,18.48,1.27,Bovin,15,23,1.36,8.88,Gran Nòdwès,1689,3.22762965,0,0,26,1.438,0.1578,4,4
504,-72.30523007,18.98399981,542-04,4ème Savane à Roche,Artibonite,Petite Rivière de L'Artibonit,Dessalines,143.8779,42,4,5,40,1070,25425,4.41,177,2.25,Latibonit,Ti Rivyè Latiboni,4e Savann Awòch,Desalin,26.8,47.6,25.6,0,60,1523746,6.18,59.93,1.78,Bovin,84,7,0.85,22.87,Gran Nòdwès,2014,3.304059466,0,0,79,0.286,-0.5436,3,3
505,-72.5461986,19.17228134,542-01,1ère Bas Coursin,Artibonite,Petite Rivière de L'Artibonit,Dessalines,47.7701,87,2,3,10,30,36724,4.56,769,2.89,Latibonit,Ti Rivyè Latiboni,1e Ba Kousen,Desalin,100,0,0,0,38,841631,5.93,22.92,1.36,Bovin,3,0,-1,1.01,Gran Nòdwès,1185,3.07371835,0,0,0,3.52,0.5465,2,2
506,-72.48188888,19.15137809,542-02,2ème Bas Coursin II,Artibonite,Petite Rivière de L'Artibonit,Dessalines,33.0309,40,3,4,20,250,4823,3.68,146,2.16,Latibonit,Ti Rivyè Latiboni,2e Ba Kousen II,Desalin,84.9,15.2,0,0,64,654011,5.82,135.6,2.13,Bovin,0,20,1.3,5.21,Gran Nòdwès,1392,3.143639235,0,0,8,2.607,0.4161,4,4
507,-73.14517203,18.46044161,1012-04,4ème Bezin,Nippes,Petite Rivière de Nippes,Miragoâne,22.5757,5,3,4,0,530,3470,3.54,154,2.19,Nip,Ti Rivyè Nip,4e Bezen,Miragwàn,44.3,55.7,0,0,63,502727,5.7,144.88,2.16,Bovin,89,8,0.9,13.92,Gran Sid,1216,3.084933575,1,0,27,0.571,-0.2434,3,3
508,-72.48726565,18.41530298,121-08,8ème Beauséjour,Ouest,Léogane,Léogâne,24.434,0,4,5,380,1480,6172,3.79,253,2.4,Lwès,Leyogàn,8e Bosejou,Leyogàn,0,24.3,75.7,0,68,687210,5.84,111.34,2.05,Bovin,100,5,0.7,39.16,Gran Sid,2393,3.378942699,0,0,100,0.004,-2.3979,3,3
509,-72.05805149,19.41763151,343-02,2ème Bois de Lance,Nord,Ranquitte,Saint Raphaël,31.2311,10,4,5,140,800,7171,3.86,230,2.36,Nò,Rankit,2e Bwa Lans,Sen Rafayèl,10.7,78.8,10.5,0,59,213839,5.33,29.82,1.47,Bovin,26,0,-1,22.11,Gran Nòdès,2000,3.301029996,0,0,96,0.291,-0.5361,3,3
510,-72.55160947,18.4337455,121-09,9ème Citronniers,Ouest,Léogane,Léogâne,20.0645,10,4,5,90,850,5868,3.77,292,2.47,Lwès,Leyogàn,9e Sitwonye,Leyogàn,3,67.1,29.9,0,67,291332,5.46,49.65,1.7,Bovin,88,0,-1,27.81,Gran Sid,1705,3.231724383,0,0,98,0.005,-2.301,3,3
511,-72.02348432,19.37806931,343-03,3ème Cracaraille,Nord,Ranquitte,Saint Raphaël,23.3694,21,4,5,390,780,4206,3.62,180,2.26,Nò,Rankit,3e Krakaray,Sen Rafayèl,37.6,61.4,1,0,61,239823,5.38,57.02,1.76,Bovin,42,0,-1,16.06,Gran Nòdès,1856,3.268577972,0,0,73,0.414,-0.383,3,3
512,-73.22294233,18.44225364,1012-02,2ème Cholette,Nippes,Petite Rivière de Nippes,Miragoâne,20.2759,41,3,4,0,910,3444,3.54,170,2.23,Nip,Ti Rivyè Nip,2e Cholèt,Miragwàn,22.5,47,30.5,0,70,289641,5.46,84.1,1.92,Bovin,21,0,-1,25.22,Gran Sid,1473,3.168202747,1,0,81,0.138,-0.8601,3,3
513,-72.52391186,18.44841275,121-06,6ème Oranger,Ouest,Léogane,Léogâne,20.6639,3,4,5,100,1130,6095,3.78,295,2.47,Lwès,Leyogàn,6e Zoranje,Leyogàn,0,70.6,29.4,0,68,394479,5.6,64.72,1.81,Bovin,97,0,-1,28.06,Gran Sid,1946,3.289142836,0,0,98,0.005,-2.301,3,3
514,-73.1930825,18.46318401,1012-03,3ème Silegue,Nippes,Petite Rivière de Nippes,Miragoâne,28.9111,61,3,4,0,580,5122,3.71,177,2.25,Nip,Ti Rivyè Nip,3e Silèg,Miragwàn,25.8,53.5,20.7,0,60,582756,5.77,113.78,2.06,Bovin,5,22,1.34,22.57,Gran Sid,1229,3.089551883,1,0,67,0.243,-0.6144,4,4
515,-72.48366982,18.45277299,121-07,7ème Parques,Ouest,Léogane,Léogâne,24.3086,25,4,5,130,1310,8859,3.95,364,2.56,Lwès,Leyogàn,7e Pak,Leyogàn,0,15.8,83.3,0.9,69,250779,5.4,28.31,1.45,Bovin,99,4,0.6,41.53,Gran Sid,1868,3.271376872,0,0,100,0.004,-2.3979,3,3
516,-72.08777223,19.39684299,343-01,1ère Bac à Soude,Nord,Ranquitte,Saint Raphaël,25.9281,37,3,4,160,630,10584,4.02,408,2.61,Nò,Rankit,1e Bakasoud,Sen Rafayèl,71.6,25.1,3.3,0,53,281897,5.45,26.63,1.43,Bovin,14,0,-1,12.76,Gran Nòdès,1411,3.149527014,0,0,43,1.29,0.1106,4,4
517,-72.64052726,18.37060564,121-04,4ème Fond de Boudin,Ouest,Léogane,Léogâne,27.1393,24,3,4,240,770,9894,4,365,2.56,Lwès,Leyogàn,4e Fon Bouden,Leyogàn,19.4,77.8,2.8,0,50,145825,5.16,14.74,1.17,Bovin,4,0,-1,19.24,Gran Sid,1413,3.150142162,0,0,82,0.965,-0.0155,4,4
518,-73.25703418,18.45451595,1012-01,1ère Fonds de Lianes,Nippes,Petite Rivière de Nippes,Miragoâne,17.5037,36,3,4,0,860,6239,3.8,356,2.55,Nip,Ti Rivyè Nip,1e Fon Lyann,Miragwàn,38.3,42.3,19.5,0,57,580352,5.76,93.02,1.97,Bovin,8,0,-1,20.14,Gran Sid,1297,3.112939976,1,0,65,0.304,-0.5171,4,4
519,-72.6663794,18.41798679,121-05,5ème Palmiste à Vins,Ouest,Léogane,Léogâne,38.8792,62,3,3,10,690,15798,4.2,406,2.61,Lwès,Leyogàn,5e Palmis Aven,Leyogàn,12.7,72.2,15,0,49,170934,5.23,10.82,1.03,Bovin,36,30,1.48,23,Gran Sid,1200,3.079181246,0,0,75,0.221,-0.6556,4,4
