fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
338,-72.39268863,18.80497024,142-04,4ème Fonds des Blancs,Ouest,Cabaret,Arcahaie,112.8727,42,3,4,40,1280,23556,4.37,209,2.32,Lwès,Kabarè,4e Fondèblan,Akayè,25,36.8,36,2.2,64,599032,5.78,25.43,1.41,Bovin,55,0,-1,27.67,Gran Nòdwès,1599,3.203848464,0,0,85,0.263,-0.58,3,3
339,-72.72174989,18.39969106,123-07,7ème Gérard,Ouest,Grand-Goâve,Léogâne,45.1476,46,3,4,0,650,11680,4.07,259,2.41,Lwès,Grangwav,7e Jera,Leyogàn,48.5,47.6,3.9,0,44,583346,5.77,49.94,1.7,Bovin,52,2,0.3,15.63,Gran Sid,1250,3.096910013,1,0,52,0.331,-0.4802,4,4
340,-72.40797835,18.74392339,142-01,1ère Boucassin,Ouest,Cabaret,Arcahaie,40.4724,93,3,4,0,450,45712,4.66,1129,3.05,Lwès,Kabarè,1e Boukasen,Akayè,78.6,21.4,0,0,50,881658,5.95,19.29,1.29,Bovin,1,0,-1,8.49,Gran Nòdwès,1273,3.104828404,1,0,43,0.584,-0.2336,4,4
341,-72.7514691,18.33392768,123-04,4ème Moussambe,Ouest,Grand-Goâve,Léogâne,30.0995,0,3,5,360,1310,9709,3.99,323,2.51,Lwès,Grangwav,4e Mousanbe,Leyogàn,0,45.7,53.6,0.7,70,1247165,6.1,128.45,2.11,Bovin,62,0,-1,34.29,Gran Sid,2006,3.302330929,0,0,100,0.003,-2.5229,3,3
342,-72.45705612,18.75935133,142-02,2ème Boucassin,Ouest,Cabaret,Arcahaie,15.3718,99,3,3,0,80,5122,3.71,333,2.52,Lwès,Kabarè,2e Boukasen,Akayè,100,0,0,0,46,962289,5.98,187.87,2.27,Bovin,91,0,-1,2.68,Gran Nòdwès,1200,3.079181246,1,0,0,1.183,0.073,4,4
343,-72.70231493,18.35189035,123-05,5ème Grande Colline,Ouest,Grand-Goâve,Léogâne,26.5346,51,3,4,190,1200,8231,3.92,310,2.49,Lwès,Grangwav,5e Gran Kolin,Leyogàn,10.7,85,4.4,0,54,340521,5.53,41.37,1.62,Bovin,10,3,0.48,20.72,Gran Sid,1580,3.198657087,0,0,85,0.528,-0.2774,4,4
344,-72.80546891,18.33602638,123-02,2ème Tête à Boeuf,Ouest,Grand-Goâve,Léogâne,61.8059,17,4,5,180,1360,14553,4.16,235,2.37,Lwès,Grangwav,2e Tètabèf,Leyogàn,0,31.4,64.4,4.2,73,768647,5.89,52.82,1.72,Bovin,37,0,-1,38.91,Gran Sid,2192,3.34084055,0,0,99,0.002,-2.699,3,3
345,-72.78140046,18.29082652,123-03,3ème Moussambe,Ouest,Grand-Goâve,Léogâne,16.7115,0,5,5,330,1340,6450,3.81,386,2.59,Lwès,Grangwav,3e Mousanbe,Leyogàn,0,29.6,66.4,4,72,362755,5.56,56.24,1.75,Bovin,74,0,-1,39.3,Gran Sid,2400,3.380211242,0,0,98,0.006,-2.2218,3,3
346,-72.78522834,18.40491904,123-01,1ère Tête à Boeuf,Ouest,Grand-Goâve,Léogâne,44.2509,61,3,4,0,780,27895,4.45,630,2.8,Lwès,Grangwav,1e Tètabèf,Leyogàn,41.1,47,10.3,1.6,49,688634,5.84,24.69,1.39,Bovin,19,0,-1,18.68,Gran Sid,1307,3.116275588,1,0,74,0.988,-0.0052,4,4
347,-72.09005747,19.34821764,344-01,1ère Savannette,Nord,Pignon,Saint Raphaël,60.9128,69,2,4,230,740,27787,4.44,456,2.66,Nò,Piyon,1e Savanèt,Sen Rafayèl,62.7,29,8.4,0,51,743338,5.87,26.75,1.43,Bovin,35,1,0,13.06,Gran Nòdès,1085,3.035429738,0,0,39,1.269,0.1035,4,4
348,-73.33025732,18.46284631,1021-02,2ème Grande Rivière-Joly,Nippes,Anse-à-Veau,Anse à Veau,41.6606,57,3,4,0,630,12777,4.11,307,2.49,Nip,Ansavo,2e Gran Rivyè Joli,Ansavo,52,40.1,8,0,52,415554,5.62,32.52,1.51,Bovin,76,0,-1,15.62,Gran Sid,1202,3.079904468,1,0,41,0.361,-0.4425,4,4
349,-72.03351234,19.6699586,434-01,1ère Champin,Nord Est,Caracol,Trou du Nord,30.6721,60,3,3,0,30,6460,3.81,211,2.32,Nòdès,Karakòl,1e Chanpen,Twoudinò,100,0,0,0,59,358986,5.56,55.57,1.74,Bovin,5,11,1.04,1,Gran Nòdès,1200,3.079181246,1,0,0,1.215,0.0846,4,4
350,-72.11946816,19.30646024,344-02,2ème La Belle Mère,Nord,Pignon,Saint Raphaël,83.2891,30,2,4,290,690,25383,4.4,305,2.48,Nò,Piyon,2e Labèlmè,Sen Rafayèl,91.5,8.3,0.2,0,55,582896,5.77,22.96,1.36,Bovin,82,0,-1,5.34,Gran Nòdès,1169,3.067814511,0,0,21,1.019,0.0082,4,4
351,-73.28601101,18.44279703,1021-03,3ème Sault de Baril,Nippes,Anse-à-Veau,Anse à Veau,36.5121,1,3,4,0,880,11428,4.06,313,2.5,Nip,Ansavo,3e So Barik,Ansavo,22.5,49.5,28,0,57,568741,5.75,49.77,1.7,Bovin,43,0,-1,24.43,Gran Sid,1370,3.136720567,1,0,79,0.212,-0.6737,3,3
352,-71.97560214,19.69740339,434-02,2ème Claudine,Nord Est,Caracol,Trou du Nord,47.4099,69,2,3,0,30,2924,3.47,62,1.79,Nòdès,Karakòl,2e Klodin,Twoudinò,100,0,0,0,66,66813,4.82,22.85,1.36,Bovin,38,20,1.3,1.03,Gran Nòdès,1052,3.02201574,1,0,0,0.404,-0.3936,4,4
353,-73.40053807,18.50408896,1021-01,1ère Baconnois,Nippes,Anse-à-Veau,Anse à Veau,28.7597,70,3,3,0,420,5343,3.73,186,2.27,Nip,Ansavo,1e Bakonwa,Ansavo,67.3,18.4,14.4,0,54,855226,5.93,160.06,2.2,Bovin,90,0,-1,13.08,Gran Sid,1200,3.079181246,1,0,17,0.604,-0.219,4,4
354,-73.66130417,18.4010744,733-05,5ème Laroque,Sud,Cavaillon,Aquin,31.1452,0,4,6,60,780,6409,3.81,206,2.31,Sid,Kavayon,5e Lawòk,Aken,8.5,66.4,25.1,0,61,237622,5.38,37.08,1.57,Bovin,35,0,-1,25.87,Gran Sid,2576,3.410945859,0,0,78,0.26,-0.585,3,3
355,-73.61058887,18.35731376,733-03,3ème Gros Marin,Sud,Cavaillon,Aquin,36.6062,47,4,5,40,1110,12792,4.11,349,2.54,Sid,Kavayon,3e Gwo Maren,Aken,29.6,33.2,37.2,0,66,147635,5.17,11.54,1.06,Bovin,38,0,-1,25.09,Gran Sid,2308,3.363235804,0,0,59,0.101,-0.9957,3,3
356,-73.59846823,18.39025827,733-04,4ème Mare Henry,Sud,Cavaillon,Aquin,47.7071,33,4,5,60,700,10553,4.02,221,2.34,Sid,Kavayon,4e Ma Anri,Aken,12.8,70,17.3,0,57,390491,5.59,37,1.57,Bovin,58,0,-1,23.54,Gran Sid,2174,3.33725954,0,0,83,0.336,-0.4737,3,3
357,-73.62767753,18.28641473,733-01,1ère Boileau,Sud,Cavaillon,Aquin,57.3091,48,4,5,0,1060,29460,4.47,514,2.71,Sid,Kavayon,1e Bwalo,Aken,24.4,49.2,26,0.4,54,427847,5.63,14.52,1.16,Bovin,26,0,-1,23.48,Gran Sid,1899,3.278524965,1,0,57,0.352,-0.4535,4,4
358,-73.66502966,18.31738838,733-02,2ème Martineau,Sud,Cavaillon,Aquin,55.971,72,4,5,10,340,25250,4.4,451,2.65,Sid,Kavayon,2e Matino,Aken,66.1,27.3,6.5,0,49,1703349,6.23,67.46,1.83,Bovin,30,0,-1,11.94,Gran Sid,1734,3.239049093,0,0,22,0.708,-0.15,4,4
359,-74.03730353,18.23477355,741-02,2ème Des Pas,Sud,Coteaux,Coteaux,26.2472,70,3,4,0,970,9369,3.97,357,2.55,Sid,Okoto,2e Dèpa,Okoto,16.8,53.8,29.4,0,60,317988,5.5,33.94,1.53,Bovin,68,0,-1,25.71,Gran Sid,1473,3.168202747,1,0,95,0.417,-0.3799,3,3
360,-74.0350369,18.2692807,741-03,3ème Quentin,Sud,Coteaux,Coteaux,18.0803,0,3,5,0,870,4566,3.66,253,2.4,Sid,Okoto,3e Kenten,Okoto,3.6,37.1,59.3,0,74,251146,5.4,55,1.74,Bovin,98,0,-1,34.66,Gran Sid,1820,3.260071388,1,0,97,0.072,-1.1427,3,3
361,-74.0075709,18.22643861,741-01,1ère Condé,Sud,Coteaux,Coteaux,26.9009,38,3,5,0,1090,6074,3.78,226,2.35,Sid,Okoto,1e Konde,Okoto,9.5,51.8,38.7,0,75,323336,5.51,53.23,1.73,Bovin,46,0,-1,28.83,Gran Sid,1652,3.218010043,1,0,89,0.142,-0.8477,3,3
362,-73.55242603,18.44398384,1025-02,2ème Anse aux Pins,Nippes,Plaisance du Sud,Anse à Veau,37.8129,68,3,4,240,880,8355,3.92,221,2.34,Nip,Plezans nan Sid,2e Ansopen,Ansavo,16.8,53.6,29.1,0.6,61,441177,5.64,52.8,1.72,Bovin,12,0,-1,26.22,Gran Sid,1607,3.206015877,0,0,82,0.003,-2.5229,3,3
363,-73.53527168,18.4055345,1025-03,3ème Vassale,Nippes,Plaisance du Sud,Anse à Veau,29.7224,0,4,4,200,610,5163,3.71,174,2.24,Nip,Plezans nan Sid,3e Vasal,Ansavo,36.7,59.3,4,0,60,366572,5.56,71,1.85,Bovin,66,0,-1,17.37,Gran Sid,1700,3.230448921,0,0,76,0.003,-2.5229,3,3
